"統計期","路線數/聯營[線]","路線數/小型[線]","行駛車輛數[平均行駛延日車數]","每車每日平均行駛次數[次]","每車每日平均行駛公里[公里]","平均每日客運人次[人次]","平均每車車次客運人次[人次]","客運收入[千元]"
"87年 1月",293,18,2831,20.0,170.6,1655755,29,628126
"87年 2月",293,18,2962,20.3,175.1,1886540,31,647270
"87年 3月",294,18,3030,20.8,180.5,2000900,32,760711
"87年 4月",294,18,3030,20.8,181.6,1922316,30,704930
"87年 5月",294,18,3024,21.0,182.1,1906548,30,721987
"87年 6月",293,18,3069,21.1,183.4,1876827,29,689373
"87年 7月",296,19,3030,21.3,184.8,1808835,28,685838
"87年 8月",296,19,3032,21.4,185.2,1835719,28,696821
"87年 9月",309,19,3176,21.5,185.2,1998817,29,733401
"87年 10月",311,19,3208,21.0,181.9,1948580,29,738090
"87年 11月",310,19,3269,21.0,182.0,2084074,30,761583
"87年 12月",311,19,3256,21.1,182.7,2110305,31,790417
"88年 1月",307,19,3220,21.0,183.2,1953450,29,734534
"88年 2月",315,20,3066,19.9,173.9,1743846,29,590641
"88年 3月",319,19,3351,20.2,180.9,2110086,31,796331
"88年 4月",319,19,3303,20.2,181.7,2030058,30,740447
"88年 5月",319,19,3338,20.0,180.1,2043777,31,770974
"88年 6月",318,19,3306,20.0,178.9,1924223,29,701806
"88年 7月",314,19,3329,19.5,176.3,1926464,30,729302
"88年 8月",316,19,3282,19.4,174.7,1903338,30,721430
"88年 9月",318,19,3330,19.5,175.8,1956031,30,716472
"88年 10月",335,19,3384,19.7,176.4,2039876,31,771527
"88年 11月",337,19,3425,19.9,175.7,2035896,30,743087
"88年 12月",350,18,3478,19.6,175.2,2067939,30,779033
"89年 1月",245,17,3438,19.4,174.7,1887522,28,708248
"89年 2月",245,17,3306,18.4,163.8,1670702,28,587978
"89年 3月",245,17,3450,19.6,174.0,1985962,29,747469
"89年 4月",236,18,3403,19.3,173.2,1850266,28,674471
"89年 5月",234,18,3444,20.0,177.9,1959676,28,734768
"89年 6月",236,18,3436,19.9,176.6,1823906,27,661954
"89年 7月",237,18,3384,19.7,177.2,1765551,26,664767
"89年 8月",236,18,3342,19.7,178.2,1748353,27,658284
"89年 9月",238,18,3359,20.0,180.4,1872007,28,680055
"89年 10月",238,19,3344,19.9,179.9,1859252,28,698575
"89年 11月",236,19,3389,19.8,179.2,1889844,28,687810
"89年 12月",242,19,3363,20.3,181.8,1948987,29,733001
"90年 1月",242,19,3195,18.8,168.4,1620318,27,605683
"90年 2月",242,19,3331,19.8,177.4,1842897,28,682252
"90年 3月",239,19,3367,20.3,182.6,1946242,29,855807
"90年 4月",241,19,3336,20.2,182.3,1828798,27,779497
"90年 5月",248,19,3369,20.5,184.4,1933028,28,850595
"90年 6月",250,19,3387,20.3,184.1,1822451,27,778926
"90年 7月",249,20,3360,19.9,182.3,1704848,25,757319
"90年 8月",249,20,3376,20.2,184.6,1781118,26,790215
"90年 9月",251,20,3326,19.4,176.7,1785149,28,764416
"90年 10月",250,20,3459,20.2,185.3,2102325,30,925900
"90年 11月",249,20,3432,20.6,188.2,2077415,29,883973
"90年 12月",249,20,3367,21.0,191.3,1940275,27,853010
"91年 1月",247,20,3350,21.0,191.9,1817096,26,802064
"91年 2月",245,20,3109,19.9,181.7,1603259,26,641553
"91年 3月",246,20,3332,20.8,189.6,1833890,26,806092
"91年 4月",244,20,3326,21.3,194.4,1816120,26,773943
"91年 5月",244,20,3357,21.3,194.4,1839115,26,809525
"91年 6月",246,20,3359,21.1,192.5,1721043,24,736052
"91年 7月",246,20,3379,21.0,191.9,1665458,24,740164
"91年 8月",249,20,3380,21.0,192.1,1678145,24,744468
"91年 9月",250,20,3377,21.0,191.5,1707459,24,727695
"91年 10月",251,20,3436,21.2,194.1,1851207,25,808057
"91年 11月",251,20,3474,21.2,194.2,1857864,25,787745
"91年 12月",252,20,3521,21.3,195.2,1876875,25,820774
"92年 1月",256,20,3492,21.0,193.2,1769511,24,777584
"92年 2月",256,20,3414,20.2,186.5,1681849,24,666913
"92年 3月",257,20,3506,21.2,194.5,1841308,25,803226
"92年 4月",257,20,3499,21.1,194.3,1773483,24,747702
"92年 5月",257,20,3395,20.5,189.4,1395865,20,605688
"92年 6月",257,20,3377,20.2,186.2,1492164,22,630373
"92年 7月",257,20,3462,20.6,190.7,1583040,22,695214
"92年 8月",257,20,3470,20.6,189.5,1606411,23,705020
"92年 9月",258,20,3488,20.8,192.4,1745014,24,734869
"92年 10月",258,20,3501,20.7,192.3,1751672,24,760785
"92年 11月",258,20,3482,20.7,192.5,1711752,24,727508
"92年 12月",257,20,3556,20.7,192.7,1779445,24,775442
"93年 1月",258,20,3337,19.8,184.2,1456896,22,637495
"93年 2月",258,20,3551,20.5,191.3,1709903,24,696779
"93年 3月",259,20,3611,20.7,194.5,1748855,23,756086
"93年 4月",260,20,3637,20.7,194.5,1751085,23,731656
"93年 5月",260,20,3703,20.2,190.1,1724820,23,748539
"93年 6月",260,20,3722,20.3,191.5,1689256,22,711688
"93年 7月",261,20,3725,20.1,190.5,1660722,22,726242
"93年 8月",261,20,3699,19.4,184.6,1583615,22,691267
"93年 9月",260,20,3760,20.3,192.6,1760766,23,737813
"93年 10月",260,20,3725,20.3,193.1,1775980,23,768402
"93年 11月",260,20,3776,20.6,195.6,1855973,24,776876
"93年 12月",260,20,3745,20.7,196.4,1778026,23,770269
"94年 1月",262,20,3749,20.4,193.8,1663400,22,771520
